P (MPa),T (°C),v (m³/kg),u (kJ/kg),h (kJ/kg),s (kJ/kg·K)
0.01,Sat.,14.670,2437.2,2583.9,8.1488
0.01,50,14.867,2443.3,2592.0,8.1741
0.01,100,17.196,2515.5,2687.5,8.4489
0.01,150,19.513,2587.9,2783.0,8.6893
0.01,200,21.826,2661.4,2879.6,8.9049
0.01,250,24.136,2736.1,2977.5,9.1015
0.01,300,26.446,2812.3,3076.7,9.2827
0.01,400,31.063,2969.3,3280.0,9.6094
0.01,500,35.680,3132.9,3489.7,9.8998
0.01,600,40.296,3303.3,3706.3,10.1631
0.01,700,44.911,3480.8,3929.9,10.4056
0.01,800,49.527,3665.4,4160.6,10.6312
0.01,900,54.143,3856.9,4398.3,10.8429
0.01,1000,58.758,4055.3,4642.8,11.0429
0.01,1100,63.373,4260.0,4893.8,11.2326
0.01,1200,67.989,4470.9,5150.8,11.4132
0.01,1300,72.604,4687.4,5413.4,11.5857
0.05,Sat.,3.2403,2483.2,2645.2,7.5931
0.05,100,3.4187,2511.5,2682.4,7.6953
0.05,150,3.8897,2585.7,2780.2,7.9413
0.05,200,4.3562,2660.0,2877.8,8.1592
0.05,250,4.8206,2735.1,2976.2,8.3568
0.05,300,5.2841,2811.6,3075.8,8.5387
0.05,400,6.2094,2968.9,3279.3,8.8659
0.05,500,7.1338,3132.6,3489.3,9.1566
0.05,600,8.0577,3303.1,3706.0,9.4201
0.05,700,8.9813,3480.6,3929.7,9.6626
0.05,800,9.9047,3665.2,4160.4,9.8883
0.05,900,10.8280,3856.8,4398.2,10.1000
0.05,1000,11.7513,4055.2,4642.7,10.3000
0.05,1100,12.6745,4259.9,4893.7,10.4897
0.05,1200,13.5977,4470.8,5150.7,10.6704
0.05,1300,14.5209,4687.3,5413.3,10.8429
0.10,Sat.,1.6941,2505.6,2675.0,7.3589
0.10,100,1.6959,2506.2,2675.8,7.3611
0.10,150,1.9367,2582.9,2776.6,7.6148
0.10,200,2.1724,2658.2,2875.5,7.8356
0.10,250,2.4062,2733.9,2974.5,8.0346
0.10,300,2.6389,2810.7,3074.5,8.2172
0.10,400,3.1027,2968.3,3278.6,8.5452
0.10,500,3.5655,3132.2,3488.7,8.8362
0.10,600,4.0279,3302.8,3705.6,9.0999
0.10,700,4.4900,3480.4,3929.4,9.3424
0.10,800,4.9519,3665.0,4160.2,9.5682
0.10,900,5.4137,3856.7,4398.0,9.7800
0.10,1000,5.8755,4055.0,4642.6,9.9800
0.10,1100,6.3372,4259.8,4893.6,10.1698
0.10,1200,6.7988,4470.7,5150.6,10.3504
0.10,1300,7.2605,4687.2,5413.3,10.5229
0.20,Sat.,0.88578,2529.1,2706.3,7.1270
0.20,150,0.95986,2577.1,2769.1,7.2810
0.20,200,1.08049,2654.6,2870.7,7.5081
0.20,250,1.19890,2731.4,2971.2,7.7100
0.20,300,1.31623,2808.8,3072.1,7.8941
0.20,400,1.54934,2967.2,3277.0,8.2236
0.20,500,1.78142,3131.4,3487.9,8.5153
0.20,600,2.01302,3302.2,3704.8,8.7793
0.20,700,2.24434,3479.9,3928.8,9.0221
0.20,800,2.47550,3664.7,4159.8,9.2479
0.20,900,2.70656,3856.3,4397.7,9.4598
0.20,1000,2.93755,4054.8,4642.3,9.6599
0.20,1100,3.16848,4259.6,4893.3,9.8497
0.20,1200,3.39938,4470.5,5150.4,10.0304
0.20,1300,3.63026,4687.1,5413.1,10.2029
0.30,Sat.,0.60582,2543.2,2724.9,6.9917
0.30,150,0.63402,2571.0,2761.2,7.0792
0.30,200,0.71643,2651.0,2865.9,7.3132
0.30,250,0.79645,2728.9,2967.9,7.5180
