temperature°c,pressurempa,vfm3/kg,vgm3/kg,ufkj/kg,ugkj/kg,hfkj/kg,hgkj/kg,sfkj/kg·k,sgkj/kg·k
0.01,0.0006117,0.001000,206.00,0.00,2374.9,0.01,2500.9,0.0000,9.1555
5,0.0008725,0.001000,147.03,21.02,2381.9,21.02,2510.1,0.0762,9.0248
10,0.0012281,0.001000,106.32,42.02,2388.7,42.02,2519.2,0.1511,8.8998
15,0.0017051,0.001001,77.885,62.98,2395.4,62.98,2528.3,0.2245,8.7803
20,0.0023392,0.001002,57.762,83.91,2402.3,83.91,2537.4,0.2965,8.6661
25,0.003169,0.001003,43.340,104.83,2408.8,104.83,2546.5,0.3672,8.5567
30,0.0042469,0.001004,32.879,125.73,2415.3,125.74,2555.5,0.4368,8.4520
35,0.0056267,0.001006,25.205,146.63,2421.7,146.64,2564.5,0.5051,8.3515
40,0.0073849,0.001008,19.515,167.53,2429.0,167.53,2573.5,0.5724,8.2558
45,0.0095953,0.001010,15.251,188.43,2433.7,188.44,2582.4,0.6386,8.1641
50,0.012352,0.001012,12.026,209.34,2443.3,209.34,2591.3,0.7038,8.0762
55,0.015762,0.001015,9.5639,230.24,2448.9,230.26,2600.1,0.7680,7.9919
60,0.019946,0.001017,7.6670,251.16,2455.5,251.18,2608.8,0.8313,7.9085
65,0.025043,0.001020,6.1935,272.09,2461.4,272.12,2617.5,0.8937,7.8318
70,0.031202,0.001023,5.0396,293.04,2468.3,293.07,2626.1,0.9551,7.7571
75,0.038595,0.001026,4.1291,313.99,2473.8,314.03,2634.6,1.0158,7.6850
80,0.047414,0.001029,3.4053,334.97,2481.2,335.02,2643.0,1.0756,7.6111
85,0.057867,0.001032,2.8261,355.96,2487.0,356.02,2651.4,1.1346,7.5428
90,0.070182,0.001036,2.3593,376.97,2494.1,377.04,2659.6,1.1929,7.4746
95,0.084608,0.001040,1.9808,398.00,2499.9,398.09,2667.7,1.2504,7.4082
100,0.10142,0.001044,1.6720,419.06,2506.0,419.17,2675.6,1.3072,7.3541
